,x,x,R,R,H,H,mu,mu,syn_H,syn_H
514,1.1518783102946266,1.1513615248118003,0.1109643937194615,0.1256388330291249,0.0050396346255832,0.2437142877284522,0.0003712289097628725,0.0005090946500915769,4.402372760218461e-06,0.0005262484485673043
524,1.1557077842974146,1.156566548843527,0.1117145580142453,0.1262481363113194,0.0050670636460414,0.2475124787048651,0.00033135313742963413,0.0004500410319606198,4.421889482491465e-06,0.0004912098689807586
534,1.1591553640112833,1.1612483501812716,0.1126829393497114,0.126723744242661,0.0050949661223209,0.2512314812822963,0.0002974217107479223,0.00040316968691612846,4.30560116825339e-06,0.00047318917539517706
544,1.162208443190099,1.1655806722063815,0.113841763650908,0.1271304695349959,0.0051222877974975,0.2547179389124282,0.00026269635164888534,0.00037168787441448054,4.077773834158179e-06,0.0004433213323027924
554,1.1648385361701004,1.169458965253292,0.1146598355072139,0.1279382916272232,0.0051514447145141,0.2580454950706078,0.00022579034761752728,0.00033163139213444464,4.0788381944825725e-06,0.0004183316025822466
564,1.1669035826601006,1.173077401098629,0.1152122729669477,0.1286017543825336,0.0051853801849247,0.2610406167187347,0.00017696804780500798,0.0003084567004656331,4.311193649512975e-06,0.0003800318921332624
574,1.168786105905101,1.176507329699416,0.1157854497678744,0.1292476870845196,0.0052195419778462,0.2637448618815951,0.00016106653180502717,0.0002915348263629913,4.256872816132412e-06,0.0003473153287988261
584,1.170318788883839,1.1796637153560467,0.1164244362250658,0.1299851601823458,0.0052552970605401,0.2663470399405923,0.00013096286185404512,0.00026756656287237984,4.263757012331446e-06,0.00033148336790785185
594,1.1716851303732072,1.1826419081843622,0.1168563917228392,0.1305042681766085,0.0052914678647233,0.2689174709371387,0.00011661336769999865,0.0002518254095094346,4.234136306101741e-06,0.0003247633518976278
604,1.1730268797616543,1.1855517152766386,0.1172216651048402,0.1306258436303917,0.005325401148065,0.2712896558012993,0.00011438351597874204,0.00024543906898210813,4.002466441482885e-06,0.00030380356696041064
614,1.174535622421522,1.1881394615352512,0.1177025878595116,0.131169309805655,0.0053559573017694,0.2735820641425079,0.00012845439772674722,0.00021779819140665762,3.7436116398889687e-06,0.0002888265128923969
624,1.1762107044295746,1.190412623986439,0.1183457936829515,0.1317628193047247,0.0053861491200788,0.2758461855077055,0.00014241342998702145,0.00019095584214954528,3.7862418015519993e-06,0.0002790865771771238
634,1.178039666789838,1.1924613372463888,0.1189576584730208,0.1323580546064916,0.0054171827508619,0.2778661059713217,0.00015525473477878278,0.00017180542428995414,3.94440634954326e-06,0.0002497309505938212
644,1.17970414796997,1.1942064045544822,0.1195772406686654,0.1328173193981526,0.0054464586643331,0.2797811744121652,0.00014109310228298185,0.00014612778004188093,3.6960490965268033e-06,0.00023239064599870927
654,1.1812863885600358,1.1955996488866476,0.120347164106227,0.1334618798543919,0.0054763680275093,0.2817779895506956,0.00013394216723300784,0.00011653100880907478,3.724452919790137e-06,0.00023251738723557494
664,1.1828689302113058,1.1969048496964931,0.1210564074848426,0.1338605453207393,0.0055039676071024,0.2835818977811228,0.0001337884199044207,0.00010904800078105612,3.496325088669321e-06,0.00021131486205344907
674,1.1843016223931782,1.1982074501014162,0.1213418184812112,0.1341090536794914,0.0055303806980471,0.2851971916221536,0.00012097358939500987,0.00010871242745258968,3.310339098233637e-06,0.00019253386310698751
684,1.1857351257716398,1.1994587503038774,0.1214491553919423,0.1343968709557285,0.0055541062207054,0.286663825210842,0.00012089575043403715,0.0001043220704458752,3.0440201053725268e-06,0.00017656872263676658
