,x,x,R,R,H,H,mu,mu,syn_H,syn_H
704,1.0482577127109176,1.0473164481583808,0.090633067291796,0.1113287788018297,0.0531799059888477,0.2967338565321878,0.0007391478875312936,0.001182174996069851,4.466346174546954e-05,0.0005871614550658722
714,1.0537131709305096,1.0590984261045455,0.0921056664248327,0.1117693894255356,0.0533593552561235,0.2992471345575086,0.0005177365501443288,0.0011124535412161717,4.557101523581143e-05,0.0005842263370693736
724,1.056422270890204,1.070501547111984,0.0943174740292314,0.1123044517158514,0.0536454609878367,0.301697465629586,0.0002564410117378086,0.001065212940439188,4.236746946218186e-05,0.0005664051516940792
734,1.0561081917199495,1.0813652396500593,0.0975889896144537,0.1127005444145897,0.0540478731037475,0.3039696403986026,-2.973929874959107e-05,0.0010046274967735024,3.863386574606762e-05,0.0005325937358304487
744,1.0529375482378902,1.091638507275334,0.1020277541630885,0.1133052900539325,0.0545813013298524,0.3061438471980267,-0.00030112360294923837,0.0009410869584397753,3.6907104500386904e-05,0.0005055286619470517
754,1.0481608051406233,1.1014958517660902,0.1069071477558559,0.1139791723746282,0.0551406206795585,0.308402496841681,-0.00045572617043489693,0.0008949052758529516,3.080291107291152e-05,0.0005018559858752734
764,1.0427810122357524,1.1109866560458244,0.1119220674832568,0.1147535482304177,0.0556490872846599,0.3105553575566917,-0.0005159082148356791,0.0008542680713658078,2.2136839231876084e-05,0.00048058359785334905
774,1.037141115783317,1.1199234795419286,0.1167403727784139,0.1153535167396622,0.0561394987948609,0.3126102823376188,-0.0005437925819936012,0.0007979851891094911,1.851290801861619e-05,0.000454950853361462
784,1.0314418782352182,1.1285626019680994,0.1209570708869357,0.116045617449932,0.0566247005509347,0.3145491360428231,-0.0005525505283778257,0.0007654978475367748,1.723216739872471e-05,0.0004346720571057634
794,1.0255922594611686,1.1368235845374222,0.1243327050084106,0.1165716371001419,0.0571246432045927,0.3165193795067666,-0.0005703649496265555,0.0007266723422776414,1.741237112197743e-05,0.0004270302252768011
